Label,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,8.5,3.2897623212397704,77.7257326022016,4.242087154979462,2.526918955354227,9.828427124746192,68.0,72.70588235294117,77.0
2,5.75,2.7057581899030048,37.892073263163226,2.9395143678631563,2.5101103854035123,7.707106781186548,69.0,74.34782608695652,83.0
3,3.75,2.1850968611841584,45.0,2.309401076758503,2.0132891827388666,5.707106781186548,72.0,80.13333333333334,84.0
4,3.0,1.9544100476116797,90.0,2.23606797749979,1.632993161855452,5.0,74.0,79.16666666666667,84.0
5,637.0,28.479002615897535,33.33483836122551,60.19434154595517,32.51778718767132,680.0492962455423,73.0,102.72880690737834,123.0
6,19.5,4.982787485166879,13.22287685201029,9.012900232328322,3.963472627212013,24.467514421272202,74.0,86.11538461538461,94.0
7,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,78.0,83.33333333333333,89.0
8,2.5,1.7841241161527712,90.0,2.8284271247461903,1.0,5.0,84.0,88.3,93.0
9,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,88.0,90.33333333333333,94.0
10,3.5,2.111004122822376,-82.83864001089823,2.724676832948657,1.572925726048864,5.707106781186548,85.0,92.35714285714286,97.0
11,1.5,1.381976597885342,90.0,1.632993161855452,1.0,3.0,81.0,92.33333333333333,98.0
12,7.25,3.0382538898732494,83.84368314310798,3.6252573759951052,2.6177762920510816,9.121320343559642,98.0,105.89655172413794,112.0
13,11.0,3.742410318509555,88.21628055190925,6.439093366856796,2.8735143774416043,14.535533905932738,103.0,108.6590909090909,114.0
14,2.75,1.8712051592547776,-74.92930722396234,2.173064992070944,1.533678162302953,4.707106781186548,107.0,110.0909090909091,114.0
15,8.75,3.3377905890622728,-51.28695236605991,4.806965044735555,2.6282657659075355,12.035533905932738,107.0,112.0,116.0
16,7.75,3.141274657157109,73.77525943941295,4.679986281578375,2.2478841934152576,10.224873734152915,100.0,110.87096774193549,117.0
17,7.25,3.0382538898732494,-89.60698958401355,5.815354915386887,1.6169308215898825,10.707106781186548,107.0,112.79310344827586,117.0
18,9.5,3.477898169151024,76.2045467281126,5.557817042990311,2.207360996718035,11.828427124746192,102.0,111.92105263157895,118.0
19,2.5,1.7841241161527712,90.0,2.8284271247461903,1.0,5.0,105.0,108.4,113.0
20,13.5,4.145929793656026,-55.733553691334755,7.701866032708514,2.5395738219632826,16.65685424949238,95.0,113.83333333333333,120.0
21,2.0,1.5957691216057308,90.0,2.23606797749979,1.0,4.0,107.0,112.375,116.0
22,15.25,4.406461512053774,-60.472103927308694,6.391609969158174,3.2547975946949412,16.053300858899107,113.0,118.14754098360656,126.0
23,12.5,3.989422804014327,-16.381927576875913,5.75600758635053,3.199433803952684,15.34619407771256,111.0,116.26,122.0
24,82.75,10.264529815185629,32.12427317020521,13.607560001515044,11.447138252054716,86.42335854398792,108.0,116.91238670694864,124.0
25,166.0,14.538148590038452,-21.288637110670834,30.82356801085863,12.168741937938597,174.43250352560273,105.0,117.18222891566265,127.0
